"Country","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","ISO"
"Afghanistan","20,293","20,170","20,616","20,057","18,020","18,883","18,336","18,876","20,136","14,278","14,501","17,248","17,817","AFG"
"Albania","12,324","12,784","13,246","11,389","11,862","13,053","15,380","15,582","15,271","17,985","19,189","23,633","27,084","ALB"
"Algeria","227,144","229,701","238,943","187,494","180,764","190,004","194,507","193,361","164,774","185,850","225,709","248,087","269,140","DZA"
"Andorra","3,189","3,193","3,267","2,789","2,895","2,993","3,217","3,155","2,885","3,325","3,376","3,786","4,042","AND"
"Angola","143,573","153,761","164,448","131,661","116,473","141,911","115,456","95,210","66,136","83,022","139,171","113,135","119,574","AGO"
"Antigua and Barbuda","1,365","1,325","1,379","1,437","1,490","1,535","1,662","1,726","1,412","1,602","1,857","2,054","2,162","ATG"
"Argentina","579,666","611,471","563,614","642,464","556,774","643,861","524,431","446,762","385,218","486,040","633,520","648,895","637,234","ARG"
"Armenia","10,619","11,121","11,610","10,553","10,546","11,527","12,458","13,619","12,642","13,879","19,514","24,186","25,955","ARM"
"Aruba","2,615","2,728","2,791","2,963","2,984","3,092","3,276","3,347","2,471","2,881","3,324","3,871","4,285","ABW"
"Australia","1,575,930","1,526,608","1,463,091","1,238,863","1,267,660","1,386,367","1,422,597","1,391,987","1,366,669","1,660,123","1,731,233","1,748,175","1,799,418","AUS"
"Austria","407,008","426,587","438,669","379,584","393,579","414,780","452,787","443,033","434,050","480,786","473,594","516,820","534,630","AUT"
"Azerbaijan","69,684","74,164","75,235","52,997","37,830","41,375","47,113","48,174","42,693","54,825","78,807","72,428","74,426","AZE"
"Bahamas","10,720","10,475","11,139","11,838","11,881","12,447","12,819","13,277","10,363","12,037","13,897","15,271","15,833","BHS"
"Bahrain","31,963","33,823","34,773","32,523","33,885","37,205","39,568","40,447","35,838","40,840","46,458","46,192","47,210","BHR"
"Bangladesh","159,749","179,676","207,102","233,687","265,236","293,755","321,379","351,238","373,902","416,265","460,201","451,534","450,461","BGD"
"Barbados","5,487","5,660","5,685","5,700","5,679","5,847","6,001","6,167","5,403","5,949","6,887","7,223","7,598","BRB"
"Belarus","65,669","75,496","78,736","56,329","47,703","54,723","60,011","64,414","61,312","68,207","73,735","71,792","78,847","BLR"
"Belgium","498,731","524,106","538,127","461,091","474,141","500,733","542,885","536,787","529,269","598,920","591,551","651,518","671,168","BEL"
"Belize","1,917","2,035","2,138","2,193","2,240","2,266","2,286","2,381","2,047","2,429","2,847","3,052","3,204","BLZ"
"Benin","11,148","12,518","13,288","11,389","11,818","12,766","14,346","14,697","15,674","17,699","17,439","19,679","21,487","BEN"
"Bhutan","1,966","1,995","1,962","2,159","2,252","2,462","2,651","2,618","2,586","2,621","2,866","2,920","3,147","BTN"
"Bolivia","31,444","35,965","39,307","40,034","41,606","46,262","48,767","49,414","42,622","48,227","51,331","52,722","55,281","BOL"
"Bosnia and Herzegovina","17,237","18,184","18,588","16,413","17,124","18,363","20,504","20,485","20,264","23,688","24,581","27,606","29,738","BIH"
"Botswana","13,907","14,272","15,470","13,531","15,083","16,105","17,032","16,696","14,930","18,750","20,321","19,411","19,356","BWA"
"Brazil","2,464,053","2,471,718","2,456,055","1,800,046","1,796,622","2,063,519","1,916,934","1,873,286","1,476,092","1,670,650","1,951,849","2,191,137","2,185,822","BRA"
"Brunei","19,051","18,094","17,093","12,933","11,403","12,130","13,564","13,472","12,008","14,008","16,684","15,098","15,334","BRN"
